key_mlbam,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,name_suffix,name_matrilineal,birth_year,birth_month,birth_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last
115762,hengeda01,hengel001dav,1005646,Hengel,Dave,David Lee,,,1961,12,18,1983,1992,1986,1989
115775,hennira01,hennis001ran,1005659,Hennis,Randy,Randall Philip,,,1965,12,16,1987,1994,1990,1990
115781,henrydw01,henry-001dwa,1005670,Henry,Dwayne,Dwayne Allen,,,1962,2,16,1980,2001,1984,1995
438937,,henry-001jas,NA,Henry,Jason,Jason Charles,,,1976,11,9,1997,2000,NA,NA
445701,,hensle001mic,NA,Hensley,Mike,Michael H.,,,1967,4,15,1988,1990,NA,NA
443530,,herbis001bre,NA,Herbison,Brett,Brett Andrew,,,1977,6,13,1995,2002,NA,NA
150252,hermach01,herman002cha,991,Hermansen,Chad,Chad Bruce,,,1977,9,10,1995,2007,1999,2004
115812,hermadu01,herman001dus,195,Hermanson,Dustin,Dustin Michael,,,1972,12,21,1994,2006,1995,2006
150253,hernaal01,hernan001ale,1005695,Hernandez,Alex,Alexander,,Vargas,1977,5,28,1995,2006,2000,2001
115824,hernaje02,hernan002jer,1005705,Hernandez,Jeremy,Jeremy Stuart,,,1966,7,6,1987,1998,1991,1995
115832,hernaro01,hernan007rob,605,Hernandez,Roberto,Roberto Manuel,,Rodriguez,1964,11,11,1986,2007,1991,2007
115866,heskejo01,hesket001jos,1005747,Hesketh,Joe,Joseph Thomas,,,1959,2,15,1980,1994,1984,1994
446987,,hicks-001ama,NA,Hicks,Aman,Aman E.,,,1971,1,14,1988,1991,NA,NA
441054,,highto001veg,NA,Hightower,Vee,Vegrin Joseph,,,1972,4,26,1993,1997,NA,NA
439586,,hill--001tyr,NA,Hill,Ty,Tyrone Allen,,,1972,3,7,1991,1998,NA,NA
494877,,hilton001sta,NA,Hilton,Stan,Stan Alan,,,1960,9,19,1983,1989,NA,NA
134460,hincha.01,hinch-001and,606,Hinch,A. J.,Andrew Jay,,,1974,5,15,1997,2005,1998,2004
469872,,hines-001tim,NA,Hines,Tim,Timothy Clifton,,,1968,10,10,1987,1992,NA,NA
469875,,hodge-001tim,NA,Hodge,Tim,Timothy DeWayne,,,1970,8,2,1988,1993,NA,NA
400115,,hodges001sco,NA,Hodges,Scott,Scott Allen,,,1978,12,26,1997,2005,NA,NA
116058,holbeaa01,holber001aar,1960,Holbert,Aaron,Aaron Keith,,,1973,1,9,1990,2006,1996,2005
116059,holbera01,holber001ray,1005937,Holbert,Ray,Ray Arthur,,,1970,9,25,1988,2000,1994,2000
136266,holdrda01,holdri001dav,1005943,Holdridge,David,David Allen,,,1969,2,5,1988,1999,1998,1998
116075,hollato01,hollan001tod,433,Hollandsworth,Todd,Todd Mathew,,,1973,4,20,1991,2006,1995,2006
116096,holmabr01,holman001bri,1005969,Holman,Brian,Brian Scott,,,1965,1,25,1983,1991,1988,1991
116108,holtch01,holt--002chr,1005983,Holt,Chris,Christopher Michael,,,1971,9,18,1992,2003,1996,2001
449538,,holyfi001vin,NA,Holyfield,Vince,Vince Edward,,,1964,2,8,1985,1990,NA,NA
439901,,hood--002jam,NA,Hood,Jay,James Moody,,,1977,3,8,1998,2002,NA,NA
450879,,hook--001mic,NA,Hook,Mike,Michael Kenneth,,,1968,8,27,1986,1992,NA,NA
440871,,hooper001dar,NA,Hooper,Daren,Daren Caton,,,1977,5,15,1996,1999,NA,NA
116133,hoovejo02,hoover001joh,1006010,Hoover,John,John Nicklaus,,,1962,12,22,1984,1990,1990,1990
116137,hopejo01,hope--001joh,1006011,Hope,John,John Alan,,,1970,12,21,1989,1999,1993,1996
116152,hornsa01,horn--001sam,1006029,Horn,Sam,Samuel Lee,,,1963,11,2,1982,2001,1987,1995
442793,,horn--001ter,NA,Horn,Terry,Terry D.,,,1972,12,8,1991,1991,NA,NA
116163,hortori01,horton003ric,1006036,Horton,Ricky,Ricky Neal,,,1959,7,30,1980,1991,1984,1990
116166,hoseyst01,hosey-001ste,1006040,Hosey,Steve,Steven Bernard,,,1969,4,2,1989,1998,1992,1993
439593,,hostet001jef,NA,Hostetler,Jeff,Jeffrey James,,,1971,6,17,1991,1994,NA,NA
116191,houstty01,housto001tyl,689,Houston,Tyler,Tyler Sam,,,1971,1,17,1989,2003,1996,2003
407806,howarbe01,howard001ben,1452,Howard,Ben,Benjamin Richard,,,1979,1,15,1997,2008,2002,2004
436619,,howard005jam,NA,Howard,Jamie,James Walker,,,1973,12,7,1993,1996,NA,NA
116215,howarth01,howard003tho,1006090,Howard,Thomas,Thomas Sylvester,,,1964,12,11,1986,2001,1990,2000
116227,howelke01,howell001ken,1006100,Howell,Ken,Kenneth,,,1960,11,28,1982,1994,1984,1990
443351,,howie-001mar,NA,Howie,Mark,Mark William,,,1962,12,27,1984,1992,NA,NA
451838,,howze-001ben,NA,Howze,Ben,Benjamin Franklin,,,1969,12,10,1988,1994,NA,NA
443023,,hubbar001mar,NA,Hubbard,Mark,Mark A.,,,1970,2,2,1991,1997,NA,NA
437852,,huber-001joh,NA,Huber,John,John,,,1978,4,18,1996,1997,NA,NA
452787,,huff--001bra,NA,Huff,Brad,Bradford Buice,,,1970,7,5,1988,1991,NA,NA
132962,hughebo01,hughes003rob,1006151,Hughes,Bobby,Robert E.,,,1971,3,10,1992,2001,1998,1999
436850,,hughes002r--,NA,Hughes,Danan,Robert Danan,,,1970,12,11,1992,1993,NA,NA
116297,huismri01,huisma001ric,1006172,Huisman,Rick,Richard Allen,,,1969,5,17,1990,2001,1995,1996
435974,,humphr001tre,NA,Humphry,Trevor,Trevor Clyde,,,1971,10,31,1992,1996,NA,NA
116316,hundlto01,hundle001tod,284,Hundley,Todd,Todd Randolph,,,1969,5,27,1987,2003,1990,2003
492492,,hunter001ber,NA,Hunter,Bert,Bertram O'Neal,,,1967,8,23,1985,1993,NA,NA
